,aug_id,original_id,sample_frequency,name,description,units,source,url,domain,subdomain,country_name,region_name,region_code,city,location,map_coordinates,timestamps,country_code
46,openweather_map_api_8466894.0,8466894.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-18 00:00:00,IND
47,openweather_map_api_8553294.0,8553294.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-19 00:00:00,IND
48,openweather_map_api_8639694.0,8639694.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-20 00:00:00,IND
49,openweather_map_api_8726094.0,8726094.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-21 00:00:00,IND
50,openweather_map_api_8812494.0,8812494.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-22 00:00:00,IND
51,openweather_map_api_8898894.0,8898894.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-23 00:00:00,IND
52,openweather_map_api_8985294.0,8985294.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-24 00:00:00,IND
53,openweather_map_api_9071694.0,9071694.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-25 00:00:00,IND
54,openweather_map_api_9158094.0,9158094.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-26 00:00:00,IND
55,openweather_map_api_9244494.0,9244494.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-27 00:00:00,IND
56,openweather_map_api_9330894.0,9330894.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-28 00:00:00,IND
57,openweather_map_api_9417294.0,9417294.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-29 00:00:00,IND
58,openweather_map_api_9503694.0,9503694.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-11-30 00:00:00,IND
59,openweather_map_api_9590094.0,9590094.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,India,India,356,Delhi,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","[[28.6517178, 77.2219388]]",2021-12-01 00:00:00,IND
60,openweather_map_api_7607436.0,7607436.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,China,China,156,Shanghai,"Shanghai, Huangpu District, Shanghai, 200001, China","[[31.2322758, 121.4692071]]",2021-11-02 00:00:00,CHN
61,openweather_map_api_7693836.0,7693836.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,China,China,156,Shanghai,"Shanghai, Huangpu District, Shanghai, 200001, China","[[31.2322758, 121.4692071]]",2021-11-03 00:00:00,CHN
62,openweather_map_api_7780236.0,7780236.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,China,China,156,Shanghai,"Shanghai, Huangpu District, Shanghai, 200001, China","[[31.2322758, 121.4692071]]",2021-11-04 00:00:00,CHN
63,openweather_map_api_7866636.0,7866636.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,China,China,156,Shanghai,"Shanghai, Huangpu District, Shanghai, 200001, China","[[31.2322758, 121.4692071]]",2021-11-05 00:00:00,CHN
64,openweather_map_api_7953036.0,7953036.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,China,China,156,Shanghai,"Shanghai, Huangpu District, Shanghai, 200001, China","[[31.2322758, 121.4692071]]",2021-11-06 00:00:00,CHN
65,openweather_map_api_8039436.0,8039436.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,China,China,156,Shanghai,"Shanghai, Huangpu District, Shanghai, 200001, China","[[31.2322758, 121.4692071]]",2021-11-07 00:00:00,CHN
66,openweather_map_api_8125836.0,8125836.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,China,China,156,Shanghai,"Shanghai, Huangpu District, Shanghai, 200001, China","[[31.2322758, 121.4692071]]",2021-11-08 00:00:00,CHN
67,openweather_map_api_8212236.0,8212236.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,China,China,156,Shanghai,"Shanghai, Huangpu District, Shanghai, 200001, China","[[31.2322758, 121.4692071]]",2021-11-09 00:00:00,CHN
68,openweather_map_api_8298636.0,8298636.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,China,China,156,Shanghai,"Shanghai, Huangpu District, Shanghai, 200001, China","[[31.2322758, 121.4692071]]",2021-11-10 00:00:00,CHN
69,openweather_map_api_8385036.0,8385036.0,daily,open weather map api,"weather forecast for next 30 days that inlcude wind speed, humidity, tempurature and pressure",celcius,,https://community-open-weather-map.p.rapidapi.com/climate/month,,,China,China,156,Shanghai,"Shanghai, Huangpu District, Shanghai, 200001, China","[[31.2322758, 121.4692071]]",2021-11-11 00:00:00,CHN
